,Accuracy,Balanced Acc,Recall_Keep,Recall_Loss,Recall_Shot,Goal AUC
Baseline,0.5571823563250385,0.6129805995200305,0.5439520154059522,0.5626380561691385,0.7323517269850007,0.620140213214197
Context-Situational,0.4986360852864221,0.610285578225375,0.4225771401817973,0.6643687647158774,0.7439108297784506,0.6258595450033131
Context-Kinetic,0.5414710485133021,0.6225116176111721,0.5148185118768938,0.572614510765347,0.7801018301912757,0.628686976670878
3D-Voxel,0.267197387221882,0.33788944616484445,0.20112541187071015,0.4280651503750273,0.3844777762487959,0.4570666915325792
