,Accuracy,Balanced Acc,Recall_Keep,Recall_Loss,Recall_Shot,Goal AUC
Baseline,0.47252067521510266,0.6010291804568274,0.3891681315866187,0.650192975216642,0.7637264345672217,0.6061435445313009
Context-Situational,0.532514365949761,0.6096034878477984,0.4957907475950284,0.597640604898415,0.7353791110499518,0.6228752229061265
Context-Kinetic,0.5306525141185275,0.6153493896239705,0.49387383726579687,0.5910624560040779,0.7611118756020366,0.6219701889616804
3D-Voxel,0.25633555394731145,0.33365539316772036,0.005688895170622686,0.9892225162026361,0.006054768129902298,0.5086883877563988
